grupo,cycle_count,cycle_min,cycle_max,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,prompt_eval_count_mean,prompt_eval_count_std,prompt_eval_count_min,prompt_eval_count_max,eval_count_mean,eval_count_std,eval_count_min,eval_count_max,total_tokens_mean,total_tokens_std,total_tokens_min,total_tokens_max,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max
repeat_penalty = 1.0,30,1,30,1895.33801,78.9346501553652,1731.0978,2023.4692,52.0,0.0,52,52,150.5,7.894782214025697,137,160,202.5,7.894782214025697,189,212,91.17017051948118,1.6405805586725464,88.8266435333499,94.20830315478288
repeat_penalty = 1.2,30,1,30,1937.1578466666665,108.173367007139,1569.4957,2086.3453999999997,52.0,0.0,52,52,153.16666666666666,10.099789459510363,118,160,205.16666666666666,10.099789459510363,170,212,94.97656417538863,2.0397628559051664,91.13464397482385,98.47261050427824
repeat_penalty = 1.5,30,1,30,1660.44047,256.2418217211384,960.3321,2029.6140999999998,52.0,0.0,52,52,126.46666666666667,23.85261257046661,61,160,178.46666666666667,23.852612570466608,113,212,92.80390256978698,2.761088254189062,84.81411596091822,97.3345882640671
temperature = 0.0,30,1,30,2087.4799066666665,426.27072211696446,1847.6516000000001,4333.828399999999,52.0,0.0,52,52,158.7,1.6431676725155002,150,159,210.7,1.6431676725155002,202,211,95.55412531366073,2.614839778054235,92.89756080802648,104.65175056709404
temperature = 0.7,30,1,30,1918.0548233333332,89.62039477581865,1748.2042,2059.3886,52.0,0.0,52,52,150.2,7.9237747883538265,137,160,202.2,7.9237747883538265,189,212,94.42166124237934,1.5362634418731256,91.6530698246474,97.24986541816632
temperature = 1.1,30,1,30,1937.9060466666667,88.41178346701945,1723.0492,2066.5909,52.0,0.0,52,52,153.26666666666668,8.136479512084737,135,160,205.26666666666668,8.136479512084737,187,212,95.21220192687416,2.249644927240388,91.94460472777806,103.0411927581872
top_p = 0.7,30,1,30,1972.8102233333334,137.18514471991216,1701.9968000000001,2292.9557,52.0,0.0,52,52,148.16666666666666,9.082318302455958,129,160,200.16666666666666,9.082318302455958,181,212,94.30033412950586,2.847988404713944,89.3278001261535,103.26258503600644
top_p = 0.9,30,1,30,1978.6061933333333,96.24709666255036,1756.9212,2133.1424,52.0,0.0,52,52,152.36666666666667,7.336650242556826,136,160,204.36666666666667,7.336650242556826,188,212,93.87202727717838,1.4824382690001203,90.5911109623907,96.91245842644548
top_p = 0.95,30,1,30,1926.14572,110.78638711585958,1671.4408,2103.7272,52.0,0.0,52,52,149.0,9.464999043663536,131,160,201.0,9.464999043663536,183,212,93.51658767371077,1.4731651720898613,90.40077952866127,96.84650234922375
