grupo,cycle_count,cycle_min,cycle_max,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,prompt_eval_count_mean,prompt_eval_count_std,prompt_eval_count_min,prompt_eval_count_max,eval_count_mean,eval_count_std,eval_count_min,eval_count_max,total_tokens_mean,total_tokens_std,total_tokens_min,total_tokens_max,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,quality_score_mean,quality_score_std,quality_score_min,quality_score_max
gemma3:4b,30,1,30,2808.529396666667,1092.588769194646,2415.5041,8563.3691,36.0,0.0,36,36,152.03333333333333,8.252411699047423,135,160,188.03333333333333,8.252411699047423,171,196,70.70379988799716,1.467823200273996,69.04512989153419,75.9149339003926,9.8,0.4842341981115023,8,10
llama3.2:3b,30,1,30,1962.0326533333332,108.23263379111309,1559.1561000000002,2062.6079,55.0,0.0,55,55,154.6,9.743609753806995,122,160,209.6,9.743609753806995,177,215,95.18578847862597,2.3903848762342976,92.3773402129485,104.86120145376948,10.0,0.0,10,10
phi4-mini:latest,30,1,30,3062.47126,1169.009386814408,2362.1892,7839.2176,30.0,0.0,30,30,160.0,0.0,160,160,190.0,0.0,190,190,77.78415766234691,3.7323027321703757,70.93311627799753,85.45156639931186,8.966666666666667,1.0661996103898193,7,10
